final: {"best_epoch": 8.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 105, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.0001336970837015894, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6719657116189454, "ndcg5": 0.5377016825484577, "primary": 0.6048336970837016, "runtime_s": 31.6, "timed_out": false}
epoch 0.5 | loss 0.6426 | lr 0.001 | valid primary 0.596470
epoch 1.0 | loss 0.5478 | lr 0.001 | valid primary 0.602568
epoch 1.5 | loss 0.5320 | lr 0.0005 | valid primary 0.603081
epoch 2.0 | loss 0.5322 | lr 0.0005 | valid primary 0.604555
epoch 2.5 | loss 0.5270 | lr 0.00025 | valid primary 0.604393
epoch 3.0 | loss 0.5265 | lr 0.00025 | valid primary 0.604878
epoch 3.5 | loss 0.5244 | lr 0.000125 | valid primary 0.604384
epoch 4.0 | loss 0.5253 | lr 0.000125 | valid primary 0.604468
epoch 4.5 | loss 0.5235 | lr 6.25e-05 | valid primary 0.604544
epoch 5.0 | loss 0.5239 | lr 6.25e-05 | valid primary 0.604638
epoch 5.5 | loss 0.5230 | lr 3.125e-05 | valid primary 0.604921
epoch 6.0 | loss 0.5241 | lr 3.125e-05 | valid primary 0.604712
epoch 6.5 | loss 0.5229 | lr 1.5625e-05 | valid primary 0.604523
epoch 7.0 | loss 0.5240 | lr 1.5625e-05 | valid primary 0.604718
epoch 7.5 | loss 0.5232 | lr 7.8125e-06 | valid primary 0.604719
epoch 8.0 | loss 0.5234 | lr 7.8125e-06 | valid primary 0.604712
final: {"best_epoch": 5.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 106, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.000220674047591074, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6720443775870844, "ndcg5": 0.5377969705080978, "primary": 0.6049206740475911, "runtime_s": 31.7, "timed_out": false}
epoch 0.5 | loss 0.6373 | lr 0.001 | valid primary 0.597566
epoch 1.0 | loss 0.5479 | lr 0.001 | valid primary 0.601486
epoch 1.5 | loss 0.5314 | lr 0.0005 | valid primary 0.603471
epoch 2.0 | loss 0.5322 | lr 0.0005 | valid primary 0.603580
epoch 2.5 | loss 0.5264 | lr 0.00025 | valid primary 0.604111
epoch 3.0 | loss 0.5272 | lr 0.00025 | valid primary 0.604245
epoch 3.5 | loss 0.5239 | lr 0.000125 | valid primary 0.604263
epoch 4.0 | loss 0.5246 | lr 0.000125 | valid primary 0.604208
epoch 4.5 | loss 0.5237 | lr 6.25e-05 | valid primary 0.604430
epoch 5.0 | loss 0.5230 | lr 6.25e-05 | valid primary 0.604531
epoch 5.5 | loss 0.5222 | lr 3.125e-05 | valid primary 0.604548
epoch 6.0 | loss 0.5245 | lr 3.125e-05 | valid primary 0.604530
epoch 6.5 | loss 0.5233 | lr 1.5625e-05 | valid primary 0.604489
epoch 7.0 | loss 0.5220 | lr 1.5625e-05 | valid primary 0.604603
epoch 7.5 | loss 0.5228 | lr 7.8125e-06 | valid primary 0.604727
epoch 8.0 | loss 0.5233 | lr 7.8125e-06 | valid primary 0.604560
final: {"best_epoch": 7.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 107, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 2.7063372507241112e-05, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6718638474379854, "ndcg5": 0.537590279307029, "primary": 0.6047270633725073, "runtime_s": 31.7, "timed_out": false}
epoch 0.5 | loss 0.6376 | lr 0.001 | valid primary 0.598408
epoch 1.0 | loss 0.5490 | lr 0.001 | valid primary 0.601839
